,album_name,img_url
0,Confidant,https://musicmeta-phinf.pstatic.net/album/004/437/4437849.jpg?type=r360Fll&v=20200228121242
1,How To Love (feat. GRAY),https://musicmeta-phinf.pstatic.net/album/004/448/4448726.jpg?type=r360Fll&v=20200219104804
2,Say It Again,https://musicmeta-phinf.pstatic.net/album/003/405/3405899.jpg?type=r360Fll&v=20191108120904
3,Another Life,https://musicmeta-phinf.pstatic.net/album/004/451/4451708.jpg?type=r360Fll&v=20200220115920
4,6 Months,https://musicmeta-phinf.pstatic.net/album/004/452/4452263.jpg?type=r360Fll&v=20200221115934
5,Phobias,https://musicmeta-phinf.pstatic.net/album/004/452/4452036.jpg?type=r360Fll&v=20200221000009
6,Old Me,https://musicmeta-phinf.pstatic.net/album/004/452/4452106.jpg?type=r360Fll&v=20200221121219
7,Dancing Next To Me,https://musicmeta-phinf.pstatic.net/album/004/453/4453221.jpg?type=r360Fll&v=20200221123907
8,~how i&#39;m feeling~,https://musicmeta-phinf.pstatic.net/album/002/486/2486021.jpg?type=r360Fll&v=20200219214716
9,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",https://musicmeta-phinf.pstatic.net/album/004/457/4457356.jpg?type=r360Fll&v=20200227141804
10,not ur friend,https://musicmeta-phinf.pstatic.net/album/004/521/4521277.jpg?type=r360Fll&v=20200515023107
11,Horizons,https://musicmeta-phinf.pstatic.net/album/004/465/4465068.jpg?type=r360Fll&v=20200227235915
12,I Do,https://musicmeta-phinf.pstatic.net/album/002/523/2523474.jpg?type=r360Fll&v=20200226015207
13,Love Don&#39;t Cost A Thang,https://musicmeta-phinf.pstatic.net/album/002/702/2702518.jpg?type=r360Fll&v=20181214120354
14,u know it&#39;s real,https://musicmeta-phinf.pstatic.net/album/002/055/2055539.jpg?type=r360Fll&v=20191004083310
15,Nobody&#39;s Lover (feat. Lord Siva),https://musicmeta-phinf.pstatic.net/album/003/464/3464703.jpg?type=r360Fll&v=20200218153210
16,VCR,https://musicmeta-phinf.pstatic.net/album/000/194/194478.jpg?type=r360Fll&v=20190312113023
17,Don&#39;t Believe In Love,https://musicmeta-phinf.pstatic.net/album/000/648/648355.jpg?type=r360Fll&v=20191217135412
18,Hard to Say (feat. I.E.),https://musicmeta-phinf.pstatic.net/album/004/467/4467331.jpg?type=r360Fll&v=20200228115931
19,Fabulous,https://musicmeta-phinf.pstatic.net/album/004/469/4469005.jpg?type=r360Fll&v=20200302124215
20,GITY,https://musicmeta-phinf.pstatic.net/album/004/470/4470781.jpg?type=r360Fll&v=20200302180409
21,Look At Us Now Dad,https://musicmeta-phinf.pstatic.net/album/004/471/4471226.jpg?type=r360Fll&v=20200303115924
22,Nikes On,https://musicmeta-phinf.pstatic.net/album/004/475/4475230.jpg?type=r360Fll&v=20200305115925
23,Alone With You,https://musicmeta-phinf.pstatic.net/album/004/564/4564836.jpg?type=r360Fll&v=20200515115941
24,Spring Break (feat. Rich The Kid),https://musicmeta-phinf.pstatic.net/album/004/476/4476374.jpg?type=r360Fll&v=20200306124415
25,Flashback,https://musicmeta-phinf.pstatic.net/album/000/494/494782.jpg?type=r360Fll&v=20190926043215
26,I Got You,https://musicmeta-phinf.pstatic.net/album/004/477/4477357.jpg?type=r360Fll&v=20200420141709
27,Flash,https://musicmeta-phinf.pstatic.net/album/004/478/4478430.jpg?type=r360Fll&v=20200316165045
28,L.O.V.E.,https://musicmeta-phinf.pstatic.net/album/003/063/3063861.jpg?type=r360Fll&v=20190610140540
29,Bad Child/Can&#39;t Be Happy All The Time,None
30,Have U Seen Her? (Part II),https://musicmeta-phinf.pstatic.net/album/004/483/4483783.jpg?type=r360Fll&v=20200318113746
31,How To Be Lonely,https://musicmeta-phinf.pstatic.net/album/004/483/4483826.jpg?type=r360Fll&v=20200421172708
32,Kings & Queens,https://musicmeta-phinf.pstatic.net/album/002/291/2291826.jpg?type=r360Fll&v=20200110181723
33,Jealous,https://musicmeta-phinf.pstatic.net/album/000/465/465822.jpg?type=r360Fll&v=20141124143403
34,Worry About Me,https://musicmeta-phinf.pstatic.net/album/004/482/4482670.jpg?type=r360Fll&v=20200313000014
35,Always Summer Somewhere,https://musicmeta-phinf.pstatic.net/album/004/482/4482912.jpg?type=r360Fll&v=20200401103005
36,Forever,https://musicmeta-phinf.pstatic.net/album/004/482/4482566.jpg?type=r360Fll&v=20200319095306
37,Arms Around Me,https://musicmeta-phinf.pstatic.net/album/004/548/4548277.jpg?type=r360Fll&v=20200504115920
